"","Event","Latitude","Longitude","Date.Time","Depth.water..m.","Press..dbar.","Temp....C.","Sal","Substrate","Subtransect","Dive.no","Morphospecies....","Cnidaria....","Arthropoda....","Bryozoa....","Chordata....","Echinod....","Porifera....","Foram.plankt....","Invert.other....","H.","J.","S","FOV.camera..m.","Slope..deg."
"127","TOSCA_ROV05",56.90855,58.13205,"2018-05-25",1833.51,1844.37,3.37,34.93,"biogenic gravels",129,5,39,4,0,0,0,2,27,6,0,2.049,0.799,13,2.37,24.02
"128","TOSCA_ROV05",56.90677,58.13213,"2018-05-25",1815.58,1831.23,3.38,34.93,"bedrock",130,5,0,0,0,0,0,0,0,0,0,0,0,0,2.21,25.05
"129","TOSCA_ROV05",56.90566,58.13216,"2018-05-25",1815.58,1817.09,3.38,34.93,"bedrock",131,5,8,0,1,0,0,2,5,0,0,1.906,0.98,7,2.31,25.05
"130","TOSCA_ROV05",56.90223,58.13227,"2018-05-25",1800.67,1802.78,3.39,34.93,"bedrock",132,5,21,1,2,0,0,4,14,0,0,2.599,0.96,15,2.36,23.29
"131","TOSCA_ROV05",56.89881,58.13239,"2018-05-25",1785.62,1789,3.41,34.93,"bedrock",133,5,16,5,0,0,0,1,10,0,0,2.096,0.91,10,2.35,31.47
"132","TOSCA_ROV05",56.89601,58.13249,"2018-05-25",1763.79,1782.49,3.43,34.93,"biogenic gravels",134,5,30,2,0,0,0,16,12,0,0,1.954,0.889,9,3.87,38.14
"133","TOSCA_ROV05",56.8961,58.13251,"2018-05-25",1763.79,1776.15,3.46,34.93,"biogenic gravels",135,5,12,1,0,0,0,5,6,0,0,1.633,0.911,6,3.45,38.14
"134","TOSCA_ROV05",56.89462,58.13252,"2018-05-25",1763.79,1750.8,3.49,34.92,"biogenic gravels",136,5,46,6,0,0,0,17,21,2,0,2.017,0.764,14,4.68,38.14
"135","TOSCA_ROV05",56.89372,58.13253,"2018-05-25",1763.79,1744.3,3.49,34.92,"biogenic gravels",137,5,60,5,0,0,0,12,43,0,0,1.385,0.601,10,4.58,38.14
"136","TOSCA_ROV05",56.88925,58.1326,"2018-05-25",1737.11,1726,3.51,34.92,"sand",138,5,20,2,0,0,1,11,6,0,0,1.803,0.867,8,3.78,27.07
"137","TOSCA_ROV05",56.88683,58.13262,"2018-05-25",1723.6,1689.14,3.54,34.92,"biogenic gravels",139,5,66,21,1,0,2,14,27,1,0,2.764,0.87,24,3.43,31.94
