/* DATA DESCRIPTION:
Citation:	Tara Oceans Consortium, Coordinators; Tara Oceans Expedition, Participants (2015): Biodiversity context of all samples from the Tara Oceans Expedition (2009-2013) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.853809
	TARA_20090920T1156Z_005_EVENT_NET ([day] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090920T1156Z_005_EVENT_NET.pdf) * LATITUDE START: 36.025500 * LONGITUDE START: -4.440800 * LATITUDE END: 36.036200 * LONGITUDE END: -4.386800 * DATE/TIME START: 2009-09-20T11:56:00 * DATE/TIME END: 2009-09-20T12:48:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180])
	TARA_20090920T1520Z_005_EVENT_CAST ([day] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090920T1558Z_005_EVENT_CAST.pdf) * LATITUDE START: 36.016900 * LONGITUDE START: -4.504900 * LATITUDE END: 36.032200 * LONGITUDE END: -4.332600 * DATE/TIME START: 2009-09-20T15:20:53 * DATE/TIME END: 2009-09-20T15:50:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) and Niskin bottles (8-L or 12-L) triggered with messengers ([CABLE]+[sbe19]+[NISKIN]) * COMMENT: Logsheet: (Pesant, Le Goff) 5 Niskins on CABLE at 5 depths above 90m] [Engineer: higher with sub surface peak @60m] [Curator: One EVENT Logsheet for 2 casts=TARA_UTC200909201558_005_EVENT_CAST]
	TARA_20090920T1558Z_005_EVENT_CAST ([day] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090920T1558Z_005_EVENT_CAST.pdf) * LATITUDE START: 36.024400 * LONGITUDE START: -4.468500 * LATITUDE END: 36.032200 * LONGITUDE END: -4.449300 * DATE/TIME START: 2009-09-20T15:58:56 * DATE/TIME END: 2009-09-20T16:47:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) and Niskin bottles (8-L or 12-L) triggered with messengers ([CABLE]+[sbe19]+[NISKIN]) * COMMENT: Logsheet: (Pesant, Le Goff) 5 Niskins on CABLE at 5 depths below 90m] [Engineer: higher] [Curator: One EVENT Logsheet for 2 casts=TARA_UTC200909201558_005_EVENT_CAST]
	TARA_20090920T1645Z_005_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [proti) * LATITUDE START: 36.032200 * LONGITUDE START: -4.449300 * LATITUDE END: 36.046900 * LONGITUDE END: -4.355500 * DATE/TIME START: 2009-09-20T16:45:00 * DATE/TIME END: 2009-09-20T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Curator: No EVENT Logsheet/ Time and Position approximated based on the sampling plan]
	TARA_20090920T1715Z_005_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE START: 36.032200 * LONGITUDE START: -4.449300 * LATITUDE END: 36.046900 * LONGITUDE END: -4.355500 * DATE/TIME START: 2009-09-20T17:15:00 * DATE/TIME END: 2009-09-20T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Curator: No EVENT Logsheet/ Time and Position approximated based on the sampling plan]
	TARA_20090920T1754Z_005_EVENT_PUMP ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE START: 36.046900 * LONGITUDE START: -4.355500 * LATITUDE END: 36.050500 * LONGITUDE END: -4.292500 * DATE/TIME START: 2009-09-20T17:54:00 * DATE/TIME END: 2009-09-20T18:49:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090920T2046Z_005_EVENT_NET ([night] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090920T2046Z_005_EVENT_NET.pdf) * LATITUDE START: 36.032000 * LONGITUDE START: -4.427500 * LATITUDE END: 36.036100 * LONGITUDE END: -4.389200 * DATE/TIME START: 2009-09-20T20:46:00 * DATE/TIME END: 2009-09-20T21:20:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180])
	TARA_20090920T2132Z_005_EVENT_NET ([night] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090920T2132Z_005_EVENT_NET.pdf) * LATITUDE START: 36.037500 * LONGITUDE START: -4.372500 * LATITUDE END: 36.041100 * LONGITUDE END: -4.325200 * DATE/TIME START: 2009-09-20T21:32:00 * DATE/TIME END: 2009-09-20T22:16:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-300])
	TARA_20090921T1200Z_006_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) * LATITUDE START: 36.522900 * LONGITUDE START: -4.002300 * LATITUDE END: 36.522400 * LONGITUDE END: -4.007500 * DATE/TIME START: 2009-09-21T12:00:00 * DATE/TIME END: 2009-09-21T14:45:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090921T1235Z_006_EVENT_NET ([day] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090921T1235Z_006_EVENT_NET.pdf) * LATITUDE START: 36.523800 * LONGITUDE START: -3.993100 * LATITUDE END: 36.522700 * LONGITUDE END: -3.986900 * DATE/TIME START: 2009-09-21T12:35:00 * DATE/TIME END: 2009-09-21T13:06:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180])
