/* DATA DESCRIPTION:
	TARA_20090915T1600Z_004_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T1600Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T16:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T1645Z_004_EVENT_CAST ([day] [water layer with no specific feature]) * LATITUDE: 36.573000 * LONGITUDE: -6.538700 * DATE/TIME START: 2009-09-15T16:45:02 * DATE/TIME END: 2009-09-15T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) ([CABLE]+[sbe19]) * COMMENT: [Engineer: higher all the way] [Curator: No EVENT Logsheet]
	TARA_20090915T1800Z_004_EVENT_PUMP ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T18:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090915T2000Z_004_EVENT_NET ([night] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T2000Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T20:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-300]) * COMMENT: [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T2130Z_004_EVENT_NET ([night] [surface water layer (ENVO:00002042)] [neu) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T2130Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T21:30:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Regent, mesh(µm)=680, mouth(m^2)=0.754296, length(m)=4 ([NET-REGENT-680]) * COMMENT: [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T2230Z_004_EVENT_NET ([night] [deep chlorophyll maximum layer (ENVO:0100) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T2230Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T22:30:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Regent, mesh(µm)=680, mouth(m^2)=0.754296, length(m)=4 ([NET-REGENT-680]) * COMMENT: [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090919Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 35.800480 * LONGITUDE START: -5.785030 * LATITUDE END: 36.817200 * LONGITUDE END: 3.108050 * DATE/TIME START: 2009-09-19T00:00:00 * DATE/TIME END: 2009-09-25T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20090919Z_UDW_EVENT_CSSS ([day/night] [surface water layer (ENVO:00002042)]) * LATITUDE START: 35.800480 * LONGITUDE START: -5.785030 * LATITUDE END: 36.817200 * LONGITUDE END: 3.108050 * DATE/TIME START: 2009-09-19T00:00:00 * DATE/TIME END: 2009-09-25T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Continuous Surface Sampling System ([CSSS]) * COMMENT: Device: equipped with [AC-S] spectrophotometer (Wetlabs), [FLUO] chlorophyll fluorometer (WETLabs), [TSG] temperature and conductivity sensor (SeaBird) and [FRRF] Fast Repetition Rate Fluorometry (flow through model)]
	TARA_20090920T1045Z_005_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) * LATITUDE START: 36.008800 * LONGITUDE START: -4.518400 * LATITUDE END: 36.016900 * LONGITUDE END: -4.504900 * DATE/TIME START: 2009-09-20T10:45:00 * DATE/TIME END: 2009-09-20T15:30:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090920T1109Z_005_EVENT_CAST ([day] [water layer with no specific feature]) * LATITUDE START: 36.013800 * LONGITUDE START: -4.491800 * LATITUDE END: 36.021700 * LONGITUDE END: -4.460200 * DATE/TIME START: 2009-09-20T11:09:58 * DATE/TIME END: 2009-09-20T11:40:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) ([CABLE]+[sbe19]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090920T1156Z_005_EVENT_NET ([day] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090920T1156Z_005_EVENT_NET.pdf) * LATITUDE START: 36.025500 * LONGITUDE START: -4.440800 * LATITUDE END: 36.036200 * LONGITUDE END: -4.386800 * DATE/TIME START: 2009-09-20T11:56:00 * DATE/TIME END: 2009-09-20T12:48:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180])
	TARA_20090920T1520Z_005_EVENT_CAST ([day] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090920T1558Z_005_EVENT_CAST.pdf) * LATITUDE START: 36.016900 * LONGITUDE START: -4.504900 * LATITUDE END: 36.032200 * LONGITUDE END: -4.332600 * DATE/TIME START: 2009-09-20T15:20:53 * DATE/TIME END: 2009-09-20T15:50:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) and Niskin bottles (8-L or 12-L) triggered with messengers ([CABLE]+[sbe19]+[NISKIN]) * COMMENT: Logsheet: (Pesant, Le Goff) 5 Niskins on CABLE at 5 depths above 90m] [Engineer: higher with sub surface peak @60m] [Curator: One EVENT Logsheet for 2 casts=TARA_UTC200909201558_005_EVENT_CAST]
	TARA_20090920T1558Z_005_EVENT_CAST ([day] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090920T1558Z_005_EVENT_CAST.pdf) * LATITUDE START: 36.024400 * LONGITUDE START: -4.468500 * LATITUDE END: 36.032200 * LONGITUDE END: -4.449300 * DATE/TIME START: 2009-09-20T15:58:56 * DATE/TIME END: 2009-09-20T16:47:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) and Niskin bottles (8-L or 12-L) triggered with messengers ([CABLE]+[sbe19]+[NISKIN]) * COMMENT: Logsheet: (Pesant, Le Goff) 5 Niskins on CABLE at 5 depths below 90m] [Engineer: higher] [Curator: One EVENT Logsheet for 2 casts=TARA_UTC200909201558_005_EVENT_CAST]
	TARA_20090920T1645Z_005_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [proti) * LATITUDE START: 36.032200 * LONGITUDE START: -4.449300 * LATITUDE END: 36.046900 * LONGITUDE END: -4.355500 * DATE/TIME START: 2009-09-20T16:45:00 * DATE/TIME END: 2009-09-20T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Curator: No EVENT Logsheet/ Time and Position approximated based on the sampling plan]
	TARA_20090920T1715Z_005_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE START: 36.032200 * LONGITUDE START: -4.449300 * LATITUDE END: 36.046900 * LONGITUDE END: -4.355500 * DATE/TIME START: 2009-09-20T17:15:00 * DATE/TIME END: 2009-09-20T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Curator: No EVENT Logsheet/ Time and Position approximated based on the sampling plan]
	TARA_20090920T1744Z_005_EVENT_CAST ([day] [water layer with no specific feature]) * LATITUDE: 36.046900 * LONGITUDE: -4.355500 * DATE/TIME START: 2009-09-20T17:44:45 * DATE/TIME END: 2009-09-20T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) ([CABLE]+[sbe19]) * COMMENT: [Engineer: higher with sub surface peak @60m] [Curator: No EVENT Logsheet]
	TARA_20090920T1754Z_005_EVENT_PUMP ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE START: 36.046900 * LONGITUDE START: -4.355500 * LATITUDE END: 36.050500 * LONGITUDE END: -4.292500 * DATE/TIME START: 2009-09-20T17:54:00 * DATE/TIME END: 2009-09-20T18:49:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
